Country Code,Region,Country,Continent
SOM,Sub-Saharan Africa,Somalia,Africa
SRB,Europe & Central Asia,Serbia,Europe
SSD,Sub-Saharan Africa,South Sudan,Africa
STP,Sub-Saharan Africa,São Tomé and Principe,Africa
SUR,Latin America & Caribbean,Suriname,South America
SVK,Europe & Central Asia,Slovak Republic,Europe
SVN,Europe & Central Asia,Slovenia,Europe
SWE,Europe & Central Asia,Sweden,Europe
SWZ,Sub-Saharan Africa,Eswatini,Africa
SXM,Latin America & Caribbean,Sint Maarten (Dutch part),South America
SYC,Sub-Saharan Africa,Seychelles,Africa
SYR,Middle East & North Africa,Syrian Arab Republic,Asia
TCA,Latin America & Caribbean,Turks and Caicos Islands,South America
TCD,Sub-Saharan Africa,Chad,Africa
TGO,Sub-Saharan Africa,Togo,Africa
THA,East Asia & Pacific,Thailand,Asia
TJK,Europe & Central Asia,Tajikistan,Europe
TKM,Europe & Central Asia,Turkmenistan,Europe
TLS,East Asia & Pacific,Timor-Leste,Asia
TON,East Asia & Pacific,Tonga,Asia
TTO,Latin America & Caribbean,Trinidad and Tobago,South America
TUN,Middle East & North Africa,Tunisia,Asia
TUR,Europe & Central Asia,Türkiye,Europe
TUV,East Asia & Pacific,Tuvalu,Asia
TZA,Sub-Saharan Africa,Tanzania,Africa
UGA,Sub-Saharan Africa,Uganda,Africa
UKR,Europe & Central Asia,Ukraine,Europe
URY,Latin America & Caribbean,Uruguay,South America
USA,North America,United States,North America
UZB,Europe & Central Asia,Uzbekistan,Europe
VCT,Latin America & Caribbean,St. Vincent and the Grenadines,South America
VEN,Latin America & Caribbean,"Venezuela, RB",South America
VGB,Latin America & Caribbean,British Virgin Islands,South America
VIR,Latin America & Caribbean,Virgin Islands (U.S.),South America
VNM,East Asia & Pacific,Vietnam,Asia
VUT,East Asia & Pacific,Vanuatu,Asia
WSM,East Asia & Pacific,Samoa,Asia
XKX,Europe & Central Asia,Kosovo,Europe
YEM,Middle East & North Africa,"Yemen, Rep.",Asia
ZAF,Sub-Saharan Africa,South Africa,Africa
ZMB,Sub-Saharan Africa,Zambia,Africa
ZWE,Sub-Saharan Africa,Zimbabwe,Africa
