Country or Area,Country Code,Region,Continent
Peru,PER,South America,South America
Philippines,PHL,South-eastern Asia,Asia
Pitcairn,PCN,Polynesia,Oceania
Poland,POL,Eastern Europe,Europe
Portugal,PRT,Southern Europe,Europe
Puerto Rico,PRI,Caribbean,North America
Qatar,QAT,Western Asia,Asia
Republic of Korea,KOR,Eastern Asia,Asia
Republic of Moldova,MDA,Eastern Europe,Europe
Réunion,REU,Eastern Africa,Africa
Romania,ROU,Eastern Europe,Europe
Russian Federation,RUS,Eastern Europe,Europe
Rwanda,RWA,Eastern Africa,Africa
Saint Barthélemy,BLM,Caribbean,North America
Saint Helena,SHN,Western Africa,Africa
Saint Kitts and Nevis,KNA,Caribbean,North America
Saint Lucia,LCA,Caribbean,North America
Saint Martin (French Part),MAF,Caribbean,North America
Saint Pierre and Miquelon,SPM,Northern America,North America
Saint Vincent and the Grenadines,VCT,Caribbean,North America
Samoa,WSM,Polynesia,Oceania
San Marino,SMR,Southern Europe,Europe
Sao Tome and Principe,STP,Middle Africa,Africa
Sark,,Northern Europe,Europe
Saudi Arabia,SAU,Western Asia,Asia
Senegal,SEN,Western Africa,Africa
Serbia,SRB,Southern Europe,Europe
Seychelles,SYC,Eastern Africa,Africa
Sierra Leone,SLE,Western Africa,Africa
Singapore,SGP,South-eastern Asia,Asia
Sint Maarten (Dutch part),SXM,Caribbean,North America
Slovakia,SVK,Eastern Europe,Europe
Slovenia,SVN,Southern Europe,Europe
Solomon Islands,SLB,Melanesia,Oceania
Somalia,SOM,Eastern Africa,Africa
South Africa,ZAF,Southern Africa,Africa
South Georgia and the South Sandwich Islands,SGS,South America,South America
South Sudan,SSD,Eastern Africa,Africa
Spain,ESP,Southern Europe,Europe
Sri Lanka,LKA,Southern Asia,Asia
State of Palestine,PSE,Western Asia,Asia
Sudan,SDN,Northern Africa,Africa
Suriname,SUR,South America,South America
Svalbard and Jan Mayen Islands,SJM,Northern Europe,Europe
Sweden,SWE,Northern Europe,Europe
Switzerland,CHE,Western Europe,Europe
Syrian Arab Republic,SYR,Western Asia,Asia
Tajikistan,TJK,Central Asia,Asia
Thailand,THA,South-eastern Asia,Asia
Timor-Leste,TLS,South-eastern Asia,Asia
Togo,TGO,Western Africa,Africa
Tokelau,TKL,Polynesia,Oceania
Tonga,TON,Polynesia,Oceania
Trinidad and Tobago,TTO,Caribbean,North America
Tunisia,TUN,Northern Africa,Africa
Turkey,TUR,Western Asia,Asia
Turkmenistan,TKM,Central Asia,Asia
Turks and Caicos Islands,TCA,Caribbean,North America
Tuvalu,TUV,Polynesia,Oceania
Uganda,UGA,Eastern Africa,Africa
Ukraine,UKR,Eastern Europe,Europe
United Arab Emirates,ARE,Western Asia,Asia
United Kingdom of Great Britain and Northern Ireland,GBR,Northern Europe,Europe
United Republic of Tanzania,TZA,Eastern Africa,Africa
United States Minor Outlying Islands,UMI,Micronesia,Oceania
United States of America,USA,Northern America,North America
United States Virgin Islands,VIR,Caribbean,North America
Uruguay,URY,South America,South America
Uzbekistan,UZB,Central Asia,Asia
Vanuatu,VUT,Melanesia,Oceania
Venezuela (Bolivarian Republic of),VEN,South America,South America
Viet Nam,VNM,South-eastern Asia,Asia
Wallis and Futuna Islands,WLF,Polynesia,Oceania
Western Sahara,ESH,Northern Africa,Africa
Yemen,YEM,Western Asia,Asia
Zambia,ZMB,Eastern Africa,Africa
Zimbabwe,ZWE,Eastern Africa,Africa
